Date,Violation Year,Violation Month,Violation Day of Week,Age at Violation,Gender,Violation Description,Violation Charged Code
2023-03-01,2023,1,5,36,Female,Following too closely,TC1992
2023-03-26,2023,10,5,22,Male,Speeding - 1-10 mph over limit,TC6713
2023-12-15,2023,5,6,53,Male,Speeding - 11-20 mph over limit,TC9421
2023-04-17,2023,11,5,53,Female,Speeding - 1-10 mph over limit,TC6788
2023-04-21,2023,11,5,42,Female,Mobile phone violation,TC6597
2023-09-11,2023,1,5,31,Female,Red light violation,TC2266
2023-02-11,2023,10,3,28,Male,Equipment violation,TC9145
2023-12-12,2023,7,6,24,Female,Mobile phone violation,TC3974
2023-12-12,2023,10,5,37,Female,Mobile phone violation,TC2585
2023-01-15,2023,8,6,53,Male,Seat belt violation,TC9181
2023-04-18,2023,11,3,30,Female,Equipment violation,TC8074
2023-08-05,2023,2,3,22,Female,Mobile phone violation,TC3280
2023-01-25,2023,7,6,63,Male,Unsafe lane change,TC1789
2023-03-27,2023,3,7,65,Female,Seat belt violation,TC5864
2023-09-17,2023,4,2,31,Female,Red light violation,TC2655
2023-01-04,2023,7,6,19,Male,Speeding - 1-10 mph over limit,TC4099
2023-07-20,2023,10,4,44,Male,Equipment violation,TC4826
2023-12-18,2023,5,6,60,Female,Mobile phone violation,TC5156
2023-02-02,2023,8,7,48,Male,Mobile phone violation,TC8495
2023-12-04,2023,11,7,44,Male,Following too closely,TC7168
2023-03-04,2023,5,4,44,Female,Equipment violation,TC7807
2023-09-15,2023,7,6,40,Female,Following too closely,TC1686
2023-09-12,2023,6,3,63,Male,Speeding - 1-10 mph over limit,TC5943
2023-05-13,2023,5,7,25,Male,Unsafe lane change,TC2898
2023-03-20,2023,9,5,30,Female,Speeding - 1-10 mph over limit,TC8228
2023-01-21,2023,1,4,50,Female,Equipment violation,TC1765
2023-06-12,2023,2,3,48,Male,Red light violation,TC2542
2023-11-05,2023,3,5,27,Male,Speeding - 11-20 mph over limit,TC9614
2023-11-20,2023,12,5,63,Male,Mobile phone violation,TC8661
2023-06-29,2023,12,4,60,Female,Stop sign violation,TC6412
2023-06-16,2023,11,6,42,Female,Following too closely,TC9330
2023-12-02,2023,7,3,34,Male,Speeding - 1-10 mph over limit,TC7522
2023-01-28,2023,1,5,64,Male,Speeding - 1-10 mph over limit,TC9275
2023-01-07,2023,2,1,41,Female,Mobile phone violation,TC6762
2023-06-27,2023,7,7,56,Female,Stop sign violation,TC8156
2023-01-01,2023,8,1,20,Male,Seat belt violation,TC6525
2023-01-21,2023,10,1,34,Male,Mobile phone violation,TC1465
2023-11-11,2023,7,5,24,Female,Speeding - 1-10 mph over limit,TC4090
2023-11-01,2023,3,1,46,Female,Equipment violation,TC8711
2023-03-19,2023,2,5,31,Male,Stop sign violation,TC2981
2023-06-14,2023,8,1,50,Male,Speeding - 1-10 mph over limit,TC1807
2023-06-22,2023,12,1,36,Female,Speeding - 1-10 mph over limit,TC1975
2023-02-17,2023,5,5,65,Male,Red light violation,TC9124
2023-02-01,2023,7,3,39,Male,Unsafe lane change,TC9786
2023-04-16,2023,11,4,37,Male,Equipment violation,TC3741
2023-08-04,2023,1,5,20,Male,Mobile phone violation,TC4627
2023-06-06,2023,2,3,58,Female,Seat belt violation,TC4085
2023-08-04,2023,12,6,49,Male,Speeding - 11-20 mph over limit,TC1273
2023-12-17,2023,10,2,46,Female,Seat belt violation,TC1640
2023-02-02,2023,10,5,39,Male,Seat belt violation,TC7139
2023-03-01,2023,2,3,21,Male,Unsafe lane change,TC4098
2023-06-26,2023,3,2,55,Female,Equipment violation,TC9507
2023-01-11,2023,4,6,61,Female,Seat belt violation,TC2643
2023-04-14,2023,2,5,47,Male,Red light violation,TC4792
2023-11-16,2023,7,1,61,Male,Following too closely,TC1308
2023-07-01,2023,8,5,26,Male,Unsafe lane change,TC9161
2023-02-07,2023,11,3,31,Male,Following too closely,TC2441
2023-05-21,2023,5,3,33,Male,Following too closely,TC8975
2023-03-02,2023,1,1,33,Male,Stop sign violation,TC5055
2023-01-08,2023,10,3,57,Female,Speeding - 1-10 mph over limit,TC1204
2023-06-13,2023,12,6,30,Female,Unsafe lane change,TC1155
2023-11-28,2023,10,3,25,Male,Stop sign violation,TC9104
2023-05-20,2023,5,7,31,Female,Seat belt violation,TC8017
2023-06-25,2023,4,7,57,Male,Equipment violation,TC9647
2023-05-24,2023,8,1,48,Male,Following too closely,TC2148
2023-11-27,2023,1,1,47,Male,Stop sign violation,TC6091
2023-07-19,2023,6,2,53,Female,Following too closely,TC5632
2023-12-03,2023,12,1,30,Female,Speeding - 11-20 mph over limit,TC5851
2023-12-17,2023,7,4,19,Female,Following too closely,TC2172
2023-03-29,2023,3,3,26,Female,Stop sign violation,TC3275
2023-03-21,2023,3,3,57,Female,Red light violation,TC4388
2023-03-03,2023,4,6,22,Male,Red light violation,TC5324
2023-10-13,2023,3,6,44,Male,Red light violation,TC1748
2023-01-11,2023,5,1,26,Male,Speeding - 1-10 mph over limit,TC6479
2023-02-21,2023,5,2,21,Female,Speeding - 11-20 mph over limit,TC9971
2023-10-06,2023,4,3,49,Male,Following too closely,TC7476
2023-03-17,2023,5,6,32,Female,Speeding - 1-10 mph over limit,TC2568
2023-09-30,2023,1,6,60,Male,Speeding - 1-10 mph over limit,TC8604
2023-08-25,2023,7,4,65,Male,Speeding - 1-10 mph over limit,TC7155
2023-05-05,2023,8,1,28,Female,Speeding - 1-10 mph over limit,TC4634
2023-02-05,2023,11,5,37,Male,Speeding - 1-10 mph over limit,TC3303
2023-07-02,2023,9,7,64,Male,Stop sign violation,TC4800
2023-10-30,2023,2,1,23,Female,Unsafe lane change,TC3824
2023-10-01,2023,10,7,58,Female,Unsafe lane change,TC1255
2023-03-10,2023,11,4,56,Female,Speeding - 11-20 mph over limit,TC3917
